timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707973036737,3599,HTTP Request,200,OK,kristujayantiwebsite 3-1,text,false,"The operation lasted too long: It took 3,599 milliseconds, but should not have lasted longer than 3,000 milliseconds.",304145,384,1,1,https://kristujayanti.edu.in:443/home/,2256,0,519
1707973036737,2259,HTTP Request-0,301,Moved Permanently,kristujayantiwebsite 3-1,text,true,,976,126,1,1,https://kristujayanti.edu.in/home,2256,0,519
1707973038998,202,HTTP Request-1,301,Moved Permanently,kristujayantiwebsite 3-1,text,true,,345,127,1,1,http://kristujayanti.edu.in/home/,201,0,56
1707973039200,1136,HTTP Request-2,200,OK,kristujayantiwebsite 3-1,text,true,,302824,131,1,1,https://kristujayanti.edu.in:443/home/,310,0,205
